Name,City,Address,Lat,Lng,Code,Unknown 1,Unknown (City) 2,Timing (Mon-to-Sat),Timing (Friday),Status,Break,Unknown 3,Unknown 4,Unknown 5
,,,,,,1,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,683,
,,,,,,1,,9AM - 7PM,,CLOSED,,1,684,
,,,,,,1,,9AM - 7PM,,CLOSED,,1,685,
,,,,,,1,,9AM - 7PM,,,,1,686,
,,,,,,1,,9:00 AM to 7:00 PM,,CLOSED,,1,690,
,,,,,,1,,9:00 AM to 7:00 PM,,CLOSED,,1,693,
,,,,,,1,,9:00 AM to 7:00 PM,,CLOSED,,1,695,
,,,,,,5,PESHAWAR,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,696,
,,,,,,1,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,699,
,,,,,,1,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,701,
