Name,City,Address,Lat,Lng
Qadri Mobiles,Bhakkar,Manadi Town Near Zubeda Academy Bhakkar,,
Al Nafe Mobiles,Bhakkar,Muhammadi Chowk Bhakkar,,
Mazhar Opital,Bhakkar,Railway Road Bhakkar,,
Rafaqat PCO,Kaloor Kot City,Main Bazar Bhakkar Road,,
Al Noor Mobiles,Bhakkar,Near Zong Franchise Railway Road Bhakkar,,
Azhar Mobiles TS,Jhang,"Azhar Mobi, Chungi # 08, Bhakkar Road Jhang, Jhang, NA Jhang, Jhang",,
Aslam Mobiles,Bhakkar,Railway Road Bhakkar,,
Hashim General Store,Bhakkar,Ghalla Mandi Bhakkar,,
Arshad Mobiles,Bhakkar,Fawara Chowk Darya Khan Bhakkar,,
ALL HASEEB KARYANA STORE,Bhakkar,Mandi Town Bhakkar,,
Faisal Medical Store,Bhakkar,Main Bazar Darya Khan Bhakkar,,
Saleem General Store,Bhakkar,36 Chowk Tehsil & Distt Bhakkar,,
Baloch Karyana Store,Bhakkar,Hassan Shah Darya Khan Bhakkar,,
Farooq Karyana Store,Bhakkar,Cheena City Bhakkar,,
Amjid Mobiles,Bhakkar,Tibba Habib Shah Kotla Jam Bhakkar,,
KHAN MOBILE SHOP,Bhakkar,MAIN CHOWK JEHAN KHAN BHAKKAR,,
Al Syed Mobiles,Jhang,"Bhakkar Road Adda 18 Hazari Jhang, Jhang, N/A Jhang, Jhang",,
AL Badar Customer,Loralai,Zhob Road Loralai,,
Sardar Customer,Loralai,Zhob Road bacha khan Chowk Loralai,,
Master Mobile,Loralai,Zhob Road Loralai,,
M.Azeem Mobile,Loralai,Zhob Road Loralai,,
Shoaib Mobile Zone,Zhob,"Near HBL bank, market road zhob",,
aafaq ali,Killa Saifullah,Zhob road killa saifullah,,
Allah Dad Mobile Zone,Zhob,"near jama masjid, masjid road zhob",,
SABIR MOBILE SHOP,Killa Saifullah,ZHOB ROAD MUSLIM BHAG,,
Al-Bilal Mobile Shop,Khanozai,"NA, Main Zhob Road Khano Zai, Pishin, NA Quetta, Quetta G.P.O.",,
Al shams Mobile,Loralai,"Zhob Road Loralai, Quetta, N/A Quetta, Quetta G.P.O.",,
Al-Latif & Son`s,Zhob,"na, Thana Road Zhob, Zhob, na Zhob, Quetta G.P.O.",,
Al Shams Mobile,Loralai,Zhob road Loralai,,
Taj Communaction,Zhob,Market Road Zhob,,
Askari Mobile Zone,Zhob,"Shop no 4 , CSD complax, cannt Zhob",,
New City Mobilef,Ellah Abad,Dipalpur Raod Ella Abad,,
Usman General Store,Ellah Abad,Dipalpur Road Ella Abad,,
Mian Mobile,Ellah Abad,Dipalpur Road Ella Abad,,
Mobile Hiuswe,Kharian,Marala Plaza Dinga Road Kharian,,
Raza CSD Shop,Kharian,CSD Market Near Corner Shop Kharian Cannt,,
Umar CD Center,Kharian,Attana Road Dinga Kharian,,
Bukhari Mobile,Kharian,Sadar Market Kharian Cannt,,
Nadeem Mobile,Kharian,Farhad Shop Kharian Cannt,,
New Piyara Mobile,Kharian,PO Piyara tehsil Kharian Distt Gujraat,,
IS Communication,Kharian,Mohallah Dogha Tehsil Kharian Disst Gujraat,,
Golden PCO,Kharian,Gulyana Road Kharian,,
Al-Madeena Mobile,Kharian,Sadar Market Kharian Cannt,,
ADIL MOBILE,Panjan Kissna,"NA, Main Bus Stop GT Road, Kharian, NA Gujrat, Gujrat",,
